AdGroup ID,Name,Campaign ID,Records(since 2018-07-01)
2680059700832,Ad Group For Pin: 687195411991,626735481477,0
2680059809005,Ad Group For Pin: 687195035147,626734569279,0
2680061841079,PinOT_KW3_AllPages30_C01i31_LPX_C0920_US_TR_GE_off1_Web,626738660043,1
2680062756989,SeedBid1_US_KW2HairCare_20180702_off1_XP0_LPX_HomeFeed_oCPM_1T_Mobile,626739917305,49
2680060086020,Ad Group For Pin: 687195511597,626735531429,0
2680060003101,Ad Group For Pin: 687194925344,626734514834,0
2680061533651,PinOT_KW0_LAL810PxMakeupXL2_B12i30P_LPA_C0619_US_TR_XP12x_off0_All_All_Low,626737725801,0
2680061533655,PinOT_KW2_C06IG_C01i31_LPX_C0619_US_TR_XP12x_off1_All_All_High,626737725802,67
2680059615673,Ad Group For Pin: 687195390331,626735472456,2
2680060116933,Ad Group For Pin: 687195315875,626734656735,0
2680060915959,Ad Group For Pin: 687196142907,626736641468,0
2680060956486,Ad Group For Pin: 687196190207,626736667468,0
2680060956535,Ad Group For Pin: 687196190252,626736667520,0
2680061039650,Ad Group For Pin: BCS13,626736722544,0
2680059614144,Ad Group For Pin: 687195389829,626735472184,1
2680060954301,Ad Group For Pin: 687196187845,626736665755,0
2680060561629,Ad Group For Pin: 687195789546,626735689399,38
2680059701704,Ad Group For Pin: 687195412085,626735481681,0
2680061533636,PinOT_KW2_C06IG_B12i30P_LPA_C0619_US_TR_XP12x_off0_All_All_Low,626737725775,0
2680059701539,Ad Group For Pin: 687195412046,626735481640,1
2680061971796,Pin_KW42I010P_MU2_C06i35-V1B_LP1_C1020_US_TR_XP0_Off1_D2,626738705988,0
2680060522699,Ad Group For Pin: 687195754290,626735666711,2
2680060524570,Ad Group For Pin: 687195756145,626735668366,0
2680060201890,Ad Group For Pin: 687194964742,626734537795,0
2680060117074,Ad Group For Pin: 687195315917,626734656755,1
2680059809671,Ad Group For Pin: 687195035352,626734569374,0
2680059882598,Ad Group For Pin: 687195053860,626734577123,0
2680059700982,Ad Group For Pin: 687195412089,626735481511,0
2680060191175,Ad Group For Pin: 687195341875,626735453417,0
2680060900733,Ad Group For Pin: 687196123154,626736634743,0
2680059732610,Ad Group For Pin: 687195016163,626734560734,0
2680062769788,SeedBid2_US_KW4Influencers_20180702_off1_XP0_LPX_Search_oCPI_1T_Android_v2,626739922749,3
2680060124643,Ad Group For Pin: 687195318824,626734657893,0
2680060588448,Ad Group For Pin: 687195814833,626736508346,5
2680061165603,PinOT_KW2_TopGL_Emo_LPX_C0227_US_AppX_XP0_off0,626737550266,7
2680059701151,Ad Group For Pin: 687195412105,626735481551,0
2680060116805,Ad Group For Pin: 687195315836,626734656714,0
2680060956470,Ad Group For Pin: 687196190191,626736667457,0
2680060124587,Ad Group For Pin: 687195318821,626734657876,0
2680059615533,Ad Group For Pin: 687195390269,626735472415,8
2680059804921,Ad Group For Pin: 687195034010,626734568770,0
2680060956339,Ad Group For Pin: 687196190060,626736667340,0
2680060524582,Ad Group For Pin: 687195756157,626735668387,2
2680061039651,Ad Group For Pin: PLS1,626736722541,81
2680059732947,Ad Group For Pin: 687195016171,626734560741,0
2680059615687,Ad Group For Pin: 687195390323,626735472460,0
2680059701332,Ad Group For Pin: 687195412152,626735481592,0
2680061700671,PinOT_KW3_AllPages180_C04i34-NW_LPX_C0811_US_TR_GE_off1_Web,626738597819,24
2680059701807,Ad Group For Pin: 687195412142,626735481702,0
2680060201887,Ad Group For Pin: 687194964739,626734537795,0
2680060561600,Ad Group For Pin: 687195789516,626735689415,0
2680061700739,PinOT_KW2_Csummer_C07RoseGold_LPX_C0811_US_TR_XP13x_off1_Mobile,626738597881,3
2680061793594,PinOT_KW2_C09Makeup_C02i33W-NW_LPX_C0908_US_TR_GE_off1_Web_P45,626738640754,0
2680060956314,Ad Group For Pin: 687196190035,626736667309,0
2680061840459,PinOT_KW2_C09HBInt_C02i33P-NW_LPX_C0920_US_TR_GE_off1_Web,626738659626,0
2680059839036,Ad Group For Pin: 687195447306,626735498515,4
2680060524640,Ad Group For Pin: 687195756215,626735668428,0
2680060035185,Ad Group For Pin: 687195498574,626735522057,33
2680060524595,Ad Group For Pin: 687195756170,626735668389,1
2680060900731,Ad Group For Pin: 687196123152,626736634742,0
2680060191198,Ad Group For Pin: 687195341902,626735453424,0
2680059700975,Ad Group For Pin: 687195412246,626735481509,23
2680060915967,Ad Group For Pin: 687196142915,626736641464,0
2680060956323,Ad Group For Pin: 687196190044,626736667322,0
2680060543899,Ad Group For Pin: 687195771385,626735677929,0
2680062658320,PinOT_KW2_TopGL_C01i31P _LPX_D0530_US_TR_XP0_off1,626739858969,0
2680060027318,Ad Group For Pin: 687195087377,626734588195,0
2680060191143,Ad Group For Pin: 687195341897,626735453409,0
2680060116819,Ad Group For Pin: 687195315834,626734656719,0
2680062264040,PinBid1_KW2_C09HBInt_C02i33P-NW_LPX_C0920_US_TR_GE_off1_Mobile,626739664200,30
2680059896722,Ad Group For Pin: 687195462056,626735504530,10
2680061841067,PinOT_KW3_AllPages30_C02i33W-NW_LPX_C0920_US_TR_GE_off1_Web,626738660017,56
2680059869968,Ad Group For Pin: 687195050820,626734575822,0
2680061526742,PinOT_KW2_MakeupXL2_C02i33W_LPA_C0616_US_TR_XP12x_off0,626737722753,58
2680061526748,PinOT_KW2_MakeupXL2_C05PR-NW_LPX_C0616_US_TR_XP12x_off1,626737722754,3
2680061971797,Pin_KW2S_MU1_C09Fall-Pin_LP1_C1020_US_TR_XP0_Off1_D1,626738705948,0
2680061700649,PinOT_KW2_MakeupXL2_C02i33W-NW_LPX_C0811_US_TR_GE_off1_Mobile,626738597801,28
2680060554989,Ad Group For Pin: 687195782934,626735685498,0
